"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Gerald Green";"Gerald Green";"1986-01-26";"1986-01-26";"Houston";"houston"
"Gerald Green";"Gerald Green";"1986-01-26";"1986-01-26";"Houston";"houston"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Tobias Harris";"Tobias Harris";"1992-07-15";"1992-07-15";"Islip";"islip"
"Alec Burks";"Alec Burks";"1991-07-20";"1991-07-20";"Grandview";"grandview"
"Alec Burks";"Alec Burks";"1991-07-20";"1991-07-20";"Grandview";"grandview"
"Alec Burks";"Alec Burks";"1991-07-20";"1991-07-20";"Grandview";"grandview"
"Marvin Williams";"Marvin Williams";"1986-06-19";"1986-06-19";"Bremerton";"bremerton"
"Marvin Williams";"Marvin Williams";"1986-06-19";"1986-06-19";"Bremerton";"bremerton"
"Marvin Williams";"Marvin Williams";"1986-06-19";"1986-06-19";"Bremerton";"bremerton"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"Ed Davis";"Ed Davis";"1989-06-05";"1989-06-05";"Washington, D.C.";"washington"
"Ed Davis";"Ed Davis";"1989-06-05";"1989-06-05";"Washington, D.C.";"washington"
"Tobias Harris";"Tobias Harris";"1992-07-15";"1992-07-15";"Islip";"islip"
"Ed Davis";"Ed Davis";"1989-06-05";"1989-06-05";"Washington, D.C.";"washington"
"Tobias Harris";"Tobias Harris";"1992-07-15";"1992-07-15";"Islip";"islip"
"Tony Wroten";"Tony Wroten";"1993-04-13";"1993-04-13";"Renton";"seattle"
"Austin Daye";"Austin Daye";"1988-06-05";"1988-06-05";"Irvine";"irvine"
"Austin Daye";"Austin Daye";"1988-06-05";"1988-06-05";"Irvine";"irvine"
"Austin Daye";"Austin Daye";"1988-06-05";"1988-06-05";"Irvine";"irvine"
"Tony Wroten";"Tony Wroten";"1993-04-13";"1993-04-13";"Renton";"seattle"
"Luke Ridnour";"Luke Ridnour";"1981-02-13";"1981-02-13";"Coeur d'Alene";
"Luke Ridnour";"Luke Ridnour";"1981-02-13";"1981-02-13";"Coeur d'Alene";
"Luke Ridnour";"Luke Ridnour";"1981-02-13";"1981-02-13";"Coeur d'Alene";
"Udonis Haslem";"Udonis Haslem";"1980-06-09";"1980-06-09";"Miami";"miami"
"Udonis Haslem";"Udonis Haslem";"1980-06-09";"1980-06-09";"Miami";"miami"
"Udonis Haslem";"Udonis Haslem";"1980-06-09";"1980-06-09";"Miami";"miami"
"Tony Wroten";"Tony Wroten";"1993-04-13";"1993-04-13";"Renton";"seattle"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Nick Young";"Nick Young";"1985-06-01";"1985-06-01";"Los Angeles";"losangeles"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Jodie Meeks";"Jodie Meeks";"1987-08-21";"1987-08-21";"Nashville";"nashville"
"Dion Waiters";"Dion Waiters";"1991-12-10";"1991-12-10";"Philadelphia";"philadelphia"
"Dion Waiters";"Dion Waiters";"1991-12-10";"1991-12-10";"Philadelphia";"philadelphia"
"Dion Waiters";"Dion Waiters";"1991-12-10";"1991-12-10";"Philadelphia";"philadelphia"
"Matthew Dellavedova";"Matthew Dellavedova";"1990-09-08";"1990-09-08";"Maryborough";"australia"
"Matthew Dellavedova";"Matthew Dellavedova";"1990-09-08";"1990-09-08";"Maryborough";"australia"
"Matthew Dellavedova";"Matthew Dellavedova";"1990-09-08";"1990-09-08";"Maryborough";"australia"
"Anthony Bennett";"Anthony Bennett";"1993-03-14";"1993-03-14";"Toronto";"canada"
"Anthony Bennett";"Anthony Bennett";"1993-03-14";"1993-03-14";"Toronto";"canada"
"Anthony Bennett";"Anthony Bennett";"1993-03-14";"1993-03-14";"Toronto";"canada"
"Alonzo Gee";"Alonzo Gee";"1987-05-29";"1987-05-29";"Riviera Beach";"rivierabeach"
"Alonzo Gee";"Alonzo Gee";"1987-05-29";"1987-05-29";"Riviera Beach";"rivierabeach"
"Alonzo Gee";"Alonzo Gee";"1987-05-29";"1987-05-29";"Riviera Beach";"rivierabeach"
"Carrick Felix";"Carrick Felix";"1990-08-17";"1990-08-17";"Goodyear";"lasvegas"
"Carrick Felix";"Carrick Felix";"1990-08-17";"1990-08-17";"Goodyear";"lasvegas"
"Scotty Hopson";"Scotty Hopson";"1989-08-08";"1989-08-08";"Hopkinsville";
"Scotty Hopson";"Scotty Hopson";"1989-08-08";"1989-08-08";"Hopkinsville";
"Arinze Onuaku";"Arinze Onuaku";"1987-07-13";"1987-07-13";"Lanham";"lanham"
"Arinze Onuaku";"Arinze Onuaku";"1987-07-13";"1987-07-13";"Lanham";"lanham"
"Arinze Onuaku";"Arinze Onuaku";"1987-07-13";"1987-07-13";"Lanham";"lanham"
"Wilson Chandler";"Wilson Chandler";"1987-05-10";"1987-05-10";"Benton Harbor";"bentonharbor"
"Wilson Chandler";"Wilson Chandler";"1987-05-10";"1987-05-10";"Benton Harbor";"bentonharbor"
"Wilson Chandler";"Wilson Chandler";"1987-05-10";"1987-05-10";"Benton Harbor";"bentonharbor"
"Greg Stiemsma";"Greg Stiemsma";"1985-09-26";"1985-09-26";"Randolph";"randolph"
"Greg Stiemsma";"Greg Stiemsma";"1985-09-26";"1985-09-26";"Randolph";"randolph"
"Greg Stiemsma";"Greg Stiemsma";"1985-09-26";"1985-09-26";"Randolph";"randolph"
"Nenê";"Nene Hilario";"1982-09-13";"1982-09-13";"São Carlos";"brazil"
"Jason Thompson";"Jason Thompson";"1986-07-21";"1986-07-21";"Mount Laurel Township";"camden"
"Nenê";"Nene Hilario";"1982-09-13";"1982-09-13";"São Carlos";"brazil"
"Jason Thompson";"Jason Thompson";"1986-07-21";"1986-07-21";"Mount Laurel Township";"camden"
"Nenê";"Nene Hilario";"1982-09-13";"1982-09-13";"São Carlos";"brazil"
"Jason Thompson";"Jason Thompson";"1986-07-21";"1986-07-21";"Mount Laurel Township";"camden"
"Markieff Morris";"Markieff Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Nick Calathes";"Nick Calathes";"1989-02-07";"1989-02-07";"Casselberry";"orlando"
"Markieff Morris";"Markieff Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Nick Calathes";"Nick Calathes";"1989-02-07";"1989-02-07";"Casselberry";"orlando"
"Markieff Morris";"Markieff Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Nick Calathes";"Nick Calathes";"1989-02-07";"1989-02-07";"Casselberry";"orlando"
"Chris Douglas-Roberts";"Chris Douglas-Roberts";"1987-01-08";"1987-01-08";"Detroit";"detroit"
"Chris Douglas-Roberts";"Chris Douglas-Roberts";"1987-01-08";"1987-01-08";"Detroit";"detroit"
"Channing Frye";"Channing Frye";"1983-05-17";"1983-05-17";"White Plains";"whiteplains"
"Channing Frye";"Channing Frye";"1983-05-17";"1983-05-17";"White Plains";"whiteplains"
"Channing Frye";"Channing Frye";"1983-05-17";"1983-05-17";"White Plains";"whiteplains"
"Mike Scott";"Mike Scott";"1988-07-16";"1988-07-16";"Chesapeake";"chesapeake"
"Mike Scott";"Mike Scott";"1988-07-16";"1988-07-16";"Chesapeake";"chesapeake"
"Mike Scott";"Mike Scott";"1988-07-16";"1988-07-16";"Chesapeake";"chesapeake"
"Leandro Barbosa";"Leandro Barbosa";"1982-11-28";"1982-11-28";"São Paulo";"brazil"
"Leandro Barbosa";"Leandro Barbosa";"1982-11-28";"1982-11-28";"São Paulo";"brazil"
"Leandro Barbosa";"Leandro Barbosa";"1982-11-28";"1982-11-28";"São Paulo";"brazil"
"Alex Len";"Alex Len";"1993-06-16";"1993-06-16";"Antratsyt";"ukraine"
"Alex Len";"Alex Len";"1993-06-16";"1993-06-16";"Antratsyt";"ukraine"
"Dionte Christmas";"Dionte Christmas";"1986-09-15";"1986-09-15";"Philadelphia";"philadelphia"
"Dionte Christmas";"Dionte Christmas";"1986-09-15";"1986-09-15";"Philadelphia";"philadelphia"
"Dionte Christmas";"Dionte Christmas";"1986-09-15";"1986-09-15";"Philadelphia";"philadelphia"
"Shavlik Randolph";"Shavlik Randolph";"1983-11-24";"1983-11-24";"Raleigh";"raleigh"
"Shavlik Randolph";"Shavlik Randolph";"1983-11-24";"1983-11-24";"Raleigh";"raleigh"
"Shavlik Randolph";"Shavlik Randolph";"1983-11-24";"1983-11-24";"Raleigh";"raleigh"
"Viacheslav Kravtsov";"Slava Kravtsov";"1987-08-25";"1987-08-25";"Odessa";
"Viacheslav Kravtsov";"Slava Kravtsov";"1987-08-25";"1987-08-25";"Odessa";
"Viacheslav Kravtsov";"Slava Kravtsov";"1987-08-25";"1987-08-25";"Odessa";
"Kosta Koufos";"Kosta Koufos";"1989-02-24";"1989-02-24";"Canton";"canton"
"Kosta Koufos";"Kosta Koufos";"1989-02-24";"1989-02-24";"Canton";"canton"
"Kosta Koufos";"Kosta Koufos";"1989-02-24";"1989-02-24";"Canton";"canton"
"Richard Jefferson";"Richard Jefferson";"1980-06-21";"1980-06-21";"Los Angeles";"losangeles"
"Richard Jefferson";"Richard Jefferson";"1980-06-21";"1980-06-21";"Los Angeles";"losangeles"
"Richard Jefferson";"Richard Jefferson";"1980-06-21";"1980-06-21";"Los Angeles";"losangeles"
"Alex Len";"Alex Len";"1993-06-16";"1993-06-16";"Antratsyt";"ukraine"
"Brandan Wright";"Brandan Wright";"1987-10-05";"1987-10-05";"Nashville";"nashville"
"Brandan Wright";"Brandan Wright";"1987-10-05";"1987-10-05";"Nashville";"nashville"
"Brandan Wright";"Brandan Wright";"1987-10-05";"1987-10-05";"Nashville";"nashville"
"Emeka Okafor";"Emeka Okafor";"1982-09-28";"1982-09-28";"Houston";"houston"
"Emeka Okafor";"Emeka Okafor";"1982-09-28";"1982-09-28";"Houston";"houston"
"Emeka Okafor";"Emeka Okafor";"1982-09-28";"1982-09-28";"Houston";"houston"
"C. J. Watson";"C.J. Watson";"1984-04-17";"1984-04-17";"Las Vegas";"lasvegas"
"C. J. Watson";"C.J. Watson";"1984-04-17";"1984-04-17";"Las Vegas";"lasvegas"
"C. J. Watson";"C.J. Watson";"1984-04-17";"1984-04-17";"Las Vegas";"lasvegas"
"C. J. Watson";"C.J. Watson";"1984-04-17";"1984-04-17";"Las Vegas";"lasvegas"
"Jarrett Jack";"Jarrett Jack";"1983-10-28";"1983-10-28";"Fort Washington";"fortwashington"
"Jarrett Jack";"Jarrett Jack";"1983-10-28";"1983-10-28";"Fort Washington";"fortwashington"
"Jarrett Jack";"Jarrett Jack";"1983-10-28";"1983-10-28";"Fort Washington";"fortwashington"
"Jarrett Jack";"Jarrett Jack";"1983-10-28";"1983-10-28";"Fort Washington";"fortwashington"
"Archie Goodwin";"Archie Goodwin";"1994-08-17";"1994-08-17";"Little Rock";"littlerock"
"Archie Goodwin";"Archie Goodwin";"1994-08-17";"1994-08-17";"Little Rock";"littlerock"
"Archie Goodwin";"Archie Goodwin";"1994-08-17";"1994-08-17";"Little Rock";"littlerock"
"Seth Curry";"Seth Curry";"1990-08-23";"1990-08-23";"Charlotte";"charlotte"
"Seth Curry";"Seth Curry";"1990-08-23";"1990-08-23";"Charlotte";"charlotte"
"Seth Curry";"Seth Curry";"1990-08-23";"1990-08-23";"Charlotte";"charlotte"
"Kyle Singler";"Kyle Singler";"1988-05-04";"1988-05-04";"Medford";"medford"
"Kyle Singler";"Kyle Singler";"1988-05-04";"1988-05-04";"Medford";"medford"
"Kyle Singler";"Kyle Singler";"1988-05-04";"1988-05-04";"Medford";"medford"
"Charlie Villanueva";"Charlie Villanueva";"1984-08-24";"1984-08-24";"Queens";"queens"
"Charlie Villanueva";"Charlie Villanueva";"1984-08-24";"1984-08-24";"Queens";"queens"
"Charlie Villanueva";"Charlie Villanueva";"1984-08-24";"1984-08-24";"Queens";"queens"
"Jonas Jerebko";"Jonas Jerebko";"1987-03-02";"1987-03-02";"Kinna";"sweden"
"Jonas Jerebko";"Jonas Jerebko";"1987-03-02";"1987-03-02";"Kinna";"sweden"
"Jonas Jerebko";"Jonas Jerebko";"1987-03-02";"1987-03-02";"Kinna";"sweden"
"Chauncey Billups";"Chauncey Billups";"1976-09-25";"1976-09-25";"Denver";"denver"
"Chauncey Billups";"Chauncey Billups";"1976-09-25";"1976-09-25";"Denver";"denver"
"Chauncey Billups";"Chauncey Billups";"1976-09-25";"1976-09-25";"Denver";"denver"
"Josh Harrellson";"Josh Harrellson";"1989-02-12";"1989-02-12";"Saint Charles";
"Josh Harrellson";"Josh Harrellson";"1989-02-12";"1989-02-12";"Saint Charles";
"Josh Harrellson";"Josh Harrellson";"1989-02-12";"1989-02-12";"Saint Charles";
"Luigi Datome";"Luigi Datome";"1987-11-27";"1987-11-28";"Montebelluna";"italy"
"Luigi Datome";"Luigi Datome";"1987-11-27";"1987-11-28";"Montebelluna";"italy"
"Luigi Datome";"Luigi Datome";"1987-11-27";"1987-11-28";"Montebelluna";"italy"
"Peyton Siva";"Peyton Siva";"1990-10-24";"1990-10-24";"Seattle";"seattle"
"Peyton Siva";"Peyton Siva";"1990-10-24";"1990-10-24";"Seattle";"seattle"
"Tony Mitchell";"Tony Mitchell";"1992-04-07";"1992-04-07";"Milwaukee";"milwaukee"
"Tony Mitchell";"Tony Mitchell";"1992-04-07";"1992-04-07";"Milwaukee";"milwaukee"
"Ish Smith";"Ish Smith";"1988-07-05";"1988-07-05";"Charlotte";"charlotte"
"Ish Smith";"Ish Smith";"1988-07-05";"1988-07-05";"Charlotte";"charlotte"
"Ish Smith";"Ish Smith";"1988-07-05";"1988-07-05";"Charlotte";"charlotte"
"DeMarre Carroll";"DeMarre Carroll";"1986-07-27";"1986-07-27";"Birmingham";"birmingham"
"DeMarre Carroll";"DeMarre Carroll";"1986-07-27";"1986-07-27";"Birmingham";"birmingham"
"DeMarre Carroll";"DeMarre Carroll";"1986-07-27";"1986-07-27";"Birmingham";"birmingham"
"Trevor Booker";"Trevor Booker";"1987-11-25";"1987-11-25";"Newberry";"newberry"
"Trevor Booker";"Trevor Booker";"1987-11-25";"1987-11-25";"Newberry";"newberry"
"Trevor Booker";"Trevor Booker";"1987-11-25";"1987-11-25";"Newberry";"newberry"
"Jason Smith";"Jason Smith";"1986-03-02";"1986-03-02";"Greeley";"greeley"
"Jason Smith";"Jason Smith";"1986-03-02";"1986-03-02";"Greeley";"greeley"
"Jason Smith";"Jason Smith";"1986-03-02";"1986-03-02";"Greeley";"greeley"
"Cory Joseph";"Cory Joseph";"1991-08-20";"1991-08-20";"Toronto";"canada"
"Cory Joseph";"Cory Joseph";"1991-08-20";"1991-08-20";"Toronto";"canada"
"Cory Joseph";"Cory Joseph";"1991-08-20";"1991-08-20";"Toronto";"canada"
"Aaron Brooks";"Aaron Brooks";"1985-01-14";"1985-01-14";"Seattle";"seattle"
"Aaron Brooks";"Aaron Brooks";"1985-01-14";"1985-01-14";"Seattle";"seattle"
"Aaron Brooks";"Aaron Brooks";"1985-01-14";"1985-01-14";"Seattle";"seattle"
"Miles Plumlee";"Miles Plumlee";"1988-09-01";"1988-09-01";"Fort Wayne";"fortwayne"
"Miles Plumlee";"Miles Plumlee";"1988-09-01";"1988-09-01";"Fort Wayne";"fortwayne"
"Miles Plumlee";"Miles Plumlee";"1988-09-01";"1988-09-01";"Fort Wayne";"fortwayne"
"Miles Plumlee";"Miles Plumlee";"1988-09-01";"1988-09-01";"Fort Wayne";"fortwayne"
"Kentavious Caldwell-Pope";"Kentavious Caldwell-Pope";"1993-02-18";"1993-02-18";"Thomaston";"thomaston"
"Greg Monroe";"Greg Monroe";"1990-06-04";"1990-06-04";"Gretna";"harvey"
"Marcus Morris";"Marcus Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Marcus Morris";"Marcus Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Marcus Morris";"Marcus Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Marcus Morris";"Marcus Morris";"1989-09-02";"1989-09-02";"Philadelphia";"philadelphia"
"Greg Monroe";"Greg Monroe";"1990-06-04";"1990-06-04";"Gretna";"harvey"
"Greg Monroe";"Greg Monroe";"1990-06-04";"1990-06-04";"Gretna";"harvey"
"Greg Monroe";"Greg Monroe";"1990-06-04";"1990-06-04";"Gretna";"harvey"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Eric Bledsoe";"Eric Bledsoe";"1989-12-09";"1989-12-09";"Birmingham";"birmingham"
"Ray McCallum";"Ray McCallum";"1961-03-06";"1991-06-12";"West Memphis";"madison"
"Ray McCallum";"Ray McCallum";"1961-03-06";"1991-06-12";"West Memphis";"madison"
"Derrick Williams";"Derrick Williams";"1991-05-25";"1991-05-25";"La Mirada";"bellflower"
"Ray McCallum";"Ray McCallum";"1961-03-06";"1991-06-12";"West Memphis";"madison"
"Derrick Williams";"Derrick Williams";"1991-05-25";"1991-05-25";"La Mirada";"bellflower"
"Derrick Williams";"Derrick Williams";"1991-05-25";"1991-05-25";"La Mirada";"bellflower"
"Jimmer Fredette";"Jimmer Fredette";"1989-02-25";"1989-02-25";"Glens Falls";"glensfalls"
"Jimmer Fredette";"Jimmer Fredette";"1989-02-25";"1989-02-25";"Glens Falls";"glensfalls"
"Jimmer Fredette";"Jimmer Fredette";"1989-02-25";"1989-02-25";"Glens Falls";"glensfalls"
"Reggie Evans";"Reggie Evans";"1980-05-18";"1980-05-18";"Pensacola";"pensacola"
"Reggie Evans";"Reggie Evans";"1980-05-18";"1980-05-18";"Pensacola";"pensacola"
"Reggie Evans";"Reggie Evans";"1980-05-18";"1980-05-18";"Pensacola";"pensacola"
"Luc Mbah a Moute";"Luc Richard Mbah a Moute";"1986-09-09";"1986-09-09";"Yaoundé";"cameroon"
"Luc Mbah a Moute";"Luc Richard Mbah a Moute";"1986-09-09";"1986-09-09";"Yaoundé";"cameroon"
"Luc Mbah a Moute";"Luc Richard Mbah a Moute";"1986-09-09";"1986-09-09";"Yaoundé";"cameroon"
"Travis Outlaw";"Travis Outlaw";"1984-09-18";"1984-09-18";"Starkville";"starkville"
"Travis Outlaw";"Travis Outlaw";"1984-09-18";"1984-09-18";"Starkville";"starkville"
"Carl Landry";"Carl Landry";"1983-09-19";"1983-09-19";"Milwaukee";"milwaukee"
"Carl Landry";"Carl Landry";"1983-09-19";"1983-09-19";"Milwaukee";"milwaukee"
"Carl Landry";"Carl Landry";"1983-09-19";"1983-09-19";"Milwaukee";"milwaukee"
"Luc Mbah a Moute";"Luc Richard Mbah a Moute";"1986-09-09";"1986-09-09";"Yaoundé";"cameroon"
"Jared Cunningham";"Jared Cunningham";"1991-05-22";"1991-05-22";"Oakland";"oakland"
"Jared Cunningham";"Jared Cunningham";"1991-05-22";"1991-05-22";"Oakland";"oakland"
"Jared Cunningham";"Jared Cunningham";"1991-05-22";"1991-05-22";"Oakland";"oakland"
"Quincy Acy";"Quincy Acy";"1990-10-06";"1990-10-06";"Tyler";"tyler"
"Quincy Acy";"Quincy Acy";"1990-10-06";"1990-10-06";"Tyler";"tyler"
"Quincy Acy";"Quincy Acy";"1990-10-06";"1990-10-06";"Tyler";"tyler"
"Hamady N'Diaye";"Hamady Ndiaye";"1987-01-12";"1987-01-12";"Dakar";"senegal"
"Hamady N'Diaye";"Hamady Ndiaye";"1987-01-12";"1987-01-12";"Dakar";"senegal"
"Orlando Johnson";"Orlando Johnson";"1989-03-11";"1989-03-11";"Monterey";"monterey"
"Orlando Johnson";"Orlando Johnson";"1989-03-11";"1989-03-11";"Monterey";"monterey"
"Orlando Johnson";"Orlando Johnson";"1989-03-11";"1989-03-11";"Monterey";"monterey"
"Royce White";"Royce White";"1991-04-10";"1991-04-10";"Minneapolis";"minneapolis"
"Royce White";"Royce White";"1991-04-10";"1991-04-10";"Minneapolis";"minneapolis"
"Royce White";"Royce White";"1991-04-10";"1991-04-10";"Minneapolis";"minneapolis"
"George Hill";"George Hill";"1986-05-04";"1986-05-04";"Indianapolis";"indianapolis"
"George Hill";"George Hill";"1986-05-04";"1986-05-04";"Indianapolis";"indianapolis"
"George Hill";"George Hill";"1986-05-04";"1986-05-04";"Indianapolis";"indianapolis"
"Luis Scola";"Luis Scola";"1980-04-30";"1980-04-30";"Buenos Aires";"argentina"
"Luis Scola";"Luis Scola";"1980-04-30";"1980-04-30";"Buenos Aires";"argentina"
"Luis Scola";"Luis Scola";"1980-04-30";"1980-04-30";"Buenos Aires";"argentina"
"Ian Mahinmi";"Ian Mahinmi";"1986-11-05";"1986-11-05";"Rouen";"france"
"Ian Mahinmi";"Ian Mahinmi";"1986-11-05";"1986-11-05";"Rouen";"france"
"Ian Mahinmi";"Ian Mahinmi";"1986-11-05";"1986-11-05";"Rouen";"france"
"Chris Copeland";"Chris Copeland";"1984-03-17";"1984-03-17";"Orange";"orange"
"Chris Copeland";"Chris Copeland";"1984-03-17";"1984-03-17";"Orange";"orange"
"Chris Copeland";"Chris Copeland";"1984-03-17";"1984-03-17";"Orange";"orange"
"Rasual Butler";"Rasual Butler";"1979-05-23";"1979-05-23";"Philadelphia";"philadelphia"
"Rasual Butler";"Rasual Butler";"1979-05-23";"1979-05-23";"Philadelphia";"philadelphia"
"Rasual Butler";"Rasual Butler";"1979-05-23";"1979-05-23";"Philadelphia";"philadelphia"
"Donald Sloan";"Donald Sloan";"1988-01-15";"1988-01-15";"Shreveport";"shreveport"
"Donald Sloan";"Donald Sloan";"1988-01-15";"1988-01-15";"Shreveport";"shreveport"
"Solomon Hill";"Solomon Hill";"1991-03-18";"1991-03-18";"California";"losangeles"
"Solomon Hill";"Solomon Hill";"1991-03-18";"1991-03-18";"California";"losangeles"
"Solomon Hill";"Solomon Hill";"1991-03-18";"1991-03-18";"California";"losangeles"
"Derek Fisher";"Derek Fisher";"1974-08-09";"1974-08-09";"Little Rock";"littlerock"
"Derek Fisher";"Derek Fisher";"1974-08-09";"1974-08-09";"Little Rock";"littlerock"
"Derek Fisher";"Derek Fisher";"1974-08-09";"1974-08-09";"Little Rock";"littlerock"
"Ben McLemore";"Ben McLemore";"1993-02-11";"1993-02-11";"St. Louis";
"Ben McLemore";"Ben McLemore";"1993-02-11";"1993-02-11";"St. Louis";
"Ben McLemore";"Ben McLemore";"1993-02-11";"1993-02-11";"St. Louis";
"Ben McLemore";"Ben McLemore";"1993-02-11";"1993-02-11";"St. Louis";
"Willie Reed";"Willie Reed";"1990-05-16";"1990-05-16";"Roeland Park";"tlouis"
"Willie Reed";"Willie Reed";"1990-05-16";"1990-05-16";"Roeland Park";"tlouis"
"Jason Terry";"Jason Terry";"1977-09-15";"1977-09-15";"Seattle";"seattle"
"Jason Terry";"Jason Terry";"1977-09-15";"1977-09-15";"Seattle";"seattle"
"Jason Terry";"Jason Terry";"1977-09-15";"1977-09-15";"Seattle";"seattle"
"Aaron Gray";"Aaron Gray";"1984-12-07";"1984-12-07";"Tarzana";"tarzana"
"Aaron Gray";"Aaron Gray";"1984-12-07";"1984-12-07";"Tarzana";"tarzana"
"Aaron Gray";"Aaron Gray";"1984-12-07";"1984-12-07";"Tarzana";"tarzana"
"Louis Williams";"Louis Williams";"1986-10-27";"1986-10-27";"Memphis";"lithonia"
"Louis Williams";"Louis Williams";"1986-10-27";"1986-10-27";"Memphis";"lithonia"
"Louis Williams";"Louis Williams";"1986-10-27";"1986-10-27";"Memphis";"lithonia"
"Carlos Delfino";"Carlos Delfino";"1982-08-29";"1982-08-29";"Santa Fe";"argentina"
"Carlos Delfino";"Carlos Delfino";"1982-08-29";"1982-08-29";"Santa Fe";"argentina"
"Carlos Delfino";"Carlos Delfino";"1982-08-29";"1982-08-29";"Santa Fe";"argentina"
"Gary Neal";"Gary Neal";"1984-10-03";"1984-10-03";"Baltimore";"baltimore"
"Gary Neal";"Gary Neal";"1984-10-03";"1984-10-03";"Baltimore";"baltimore"
"Gary Neal";"Gary Neal";"1984-10-03";"1984-10-03";"Baltimore";"baltimore"
"Chris Wright";"Chris Wright";"1988-09-30";"1988-09-30";"Trotwood";"trotwood"
"Chris Wright";"Chris Wright";"1988-09-30";"1988-09-30";"Trotwood";"trotwood"
